Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2016;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2016;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2016;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
2016;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2019;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2019;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2019;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;8;Número;
2019;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;6;Número;
2019;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;2;Número;
2019;Diputados de Podemos en el Congreso de los Diputados;Otros;;;6;Número;
2019;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;3;Número;
2019;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2019;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2019;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2019;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2019;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2019;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2019;Diputados de Vox en el Congreso de los Diputados;Otros;;;5;Número;
2019;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;3;Número;
2019;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;2;Número;
2019;Total diputados en el Congreso de los Diputados;Otros;;;37;Número;
2019;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;7;Número;
2019;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;4;Número;
2019;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;3;Número;
2019;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;11;Número;
2019;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;4;Número;
2019;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;7;Número;
2019;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2019;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2019;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2019;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
2019;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2019;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2019;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
2019;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;3;Número;
2020;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;2;Número;
2020;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2020;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2020;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2020;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2020;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;3;Número;
2020;Diputados de Podemos en el Congreso de los Diputados;Otros;;;5;Número;
2020;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;1;Número;
2020;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;2;Número;
2020;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;3;Número;
2020;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;2;Número;
2020;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2020;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2020;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
2020;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2020;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2020;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
2020;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2020;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2020;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;6;Número;
2020;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;4;Número;
2020;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;10;Número;
2020;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;6;Número;
2020;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;4;Número;
2020;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;10;Número;
2020;Total diputados en el Congreso de los Diputados;Otros;;;37;Número;
2020;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;3;Número;
2020;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;4;Número;
2020;Diputados de Vox en el Congreso de los Diputados;Otros;;;7;Número;
2020;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;1;Número;
2020;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;1;Número;
2023;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2023;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2023;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2023;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2023;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2023;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;5;Número;
2023;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;5;Número;
2023;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2023;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;5;Número;
2023;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2023;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;10;Número;
2023;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2023;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;7;Número;
2023;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2023;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;9;Número;
2023;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
2023;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;16;Número;
2023;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2023;Total diputados en el Congreso de los Diputados;Otros;;;37;Número;
2023;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;1;Número;
2023;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;3;Número;
2023;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;2;Número;
2023;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;2;Número;
2023;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2023;Diputados de Vox en el Congreso de los Diputados;Otros;;;5;Número;
2023;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
2023;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2023;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;1;Número;
2023;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2023;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
2023;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;3;Número;
